carga_vus,metrica,U,p_value,cliffs_delta,cliffs_delta_ic95_lo,cliffs_delta_ic95_hi,magnitude,p_ajustado_holm,significativo_5pct,direcao
100,lat_p95_ms,576.0,0.063533,0.28,-0.0133,0.5578,pequeno,0.127065,False,empate (n.s.)
100,throughput_rps,758.0,5e-06,0.6844,0.4689,0.8622,grande,3.3e-05,True,A1 melhor
100,taxa_erro,450.0,1.0,0.0,0.0,0.0,desprezível,1.0,False,empate (n.s.)
100,cpu_util_pct,722.0,6e-05,0.6044,0.3333,0.8378,grande,0.000186,True,A2 melhor
100,cpu_util_peak_pct,900.0,0.0,1.0,1.0,1.0,grande,0.0,True,A2 melhor
500,lat_p95_ms,30.0,0.0,-0.9333,-1.0,-0.8,grande,0.0,True,A1 melhor
500,throughput_rps,0.0,0.0,-1.0,-1.0,-1.0,grande,0.0,True,A2 melhor
500,taxa_erro,900.0,0.0,1.0,1.0,1.0,grande,0.0,True,A2 melhor
500,cpu_util_pct,174.0,4.6e-05,-0.6133,-0.8044,-0.3733,grande,0.000186,True,A1 melhor
500,cpu_util_peak_pct,0.0,0.0,-1.0,-1.0,-1.0,grande,0.0,True,A1 melhor
1000,lat_p95_ms,744.0,1.4e-05,0.6533,0.42,0.84,grande,7.1e-05,True,A2 melhor
1000,throughput_rps,0.0,0.0,-1.0,-1.0,-1.0,grande,0.0,True,A2 melhor
1000,taxa_erro,900.0,0.0,1.0,1.0,1.0,grande,0.0,True,A2 melhor
1000,cpu_util_pct,89.0,0.0,-0.8022,-0.9334,-0.6289,grande,1e-06,True,A1 melhor
1000,cpu_util_peak_pct,0.0,0.0,-1.0,-1.0,-1.0,grande,0.0,True,A1 melhor
2000,lat_p95_ms,900.0,0.0,1.0,1.0,1.0,grande,0.0,True,A2 melhor
2000,throughput_rps,0.0,0.0,-1.0,-1.0,-1.0,grande,0.0,True,A2 melhor
2000,taxa_erro,900.0,0.0,1.0,1.0,1.0,grande,0.0,True,A2 melhor
2000,cpu_util_pct,110.0,1e-06,-0.7556,-0.9044,-0.56,grande,4e-06,True,A1 melhor
2000,cpu_util_peak_pct,0.0,0.0,-1.0,-1.0,-1.0,grande,0.0,True,A1 melhor
